NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,ASPHALT PAVER,ሥከ-AP-0001,DEFENCE CONSTRUCTION ENTERPRISE,22002875,*10002116LOG000636*,15340,05/06/07,DYNAPAC,SD2500C,3-9,,2012,1729-AP-02,AA,AA,KIRKOS,-,3414,0114422260/70,,,FREE,,,,,,,,,,
,ASPHALT PHAVER,ሥከ-AP-0001,ADDIS ABABA CITY ROAD AUTHORITY,80054809,12200946,3589,13/11/14,WIRTGEN,W200,2.00M,500HP,2018,7281/AP/01,AA,AA,N/LAFTO,08/09,,113713400,,,FREE,12/01/15,NEW,2014/2015,,,,,,,
,ASPHALT MIXER,ሥከ-AP-0001,Batu Construction Share Company,ELECTRICAL,*4A-S1-E110*,786,14/10/94,MARINI,4A-51,14TON,113HP,-,009-AM-01,AA,AA,23,14,1783,710999,,,FREE,,,,,,,,,,
,ASPHALT PAVER,ሥከ-AP-0002,DEFENCE CONSTRUCTION ENTERPRISE,22002859,*10002116JOG000629*,15341,05/06/07,DYNAPAC,SD2500C,8.8,173,2012,1729-AP-03,AA,AA,KIRKOS,-,3414,0114422260/70,,,FREE,,,,,,,,,,
,ASPHALT PHAVER,ሥከ-AP-0002,ADDIS ABABA CITY ROAD AUTHORITY,E7A13605,CATAP600VLR600122,3574,13/11/14,CAT,AP600F,5.00M,173HP,2018,7281/AP/02,AA,AA,N/LAFTO,08/09,,113713400,,,FREE,12/01/15,NEW,2014/2015,,,,,,,
,ASPHALT PAVER,ሥከ-AP-0003,AMHARA REGION URBAN DEVELOPMENT AND CONSTRUCTION,C6E41005,CATAP655JMAN00362,22178,09/01/11,CAT,AP-655D,2.55-8,165,2014,1895-AP-01,AMAHRA,AMAHRA,B/Dare,8,,0582266124/09183402591,,,FREE,10/01/11,አዲስ ሊብሬ,2011/2012,,,,,,,
,ASPHALT PHAVER,ሥከ-AP-0005,ADDIS ABABA CITY ROAD AUTHORITY,E7A18060,CATAP600LLR600124,3588,13/11/14,CAT,AP600F,5.00M,173HP,2018,7281/AP/03,AA,AA,N/LAFTO,08/09,,113713400,,,FREE,12/01/15,NEW,2014/2015,,,,,,,
,ASPLEET PELANTE,ሥከ-AP-0009,JEJEGA KELELE MNEGDOCI CONESTRCON,D9124016038,75,857,04/07/12,XCMG,RP602L,13 TON,130,2012,7434-AP-01,JEJGA,JEJEGA,,7,,928909413,,,FREE,14/07/12,አዲስ ሊብሬ,2012/2013,,,,,,,
,ASPHALT PAVER,ሥከ-AP-002,Defence Construction & Engineering Enterprise,Electrcal,105014B17,17019,21/04/08,TRXBUILD,LJB1500C,90-120,,2014,1729-AP-01,AA,AA,Kikos,4,,0114422270/71,,,FREE,,,,,,,,,,
,CON/BATCH PLANT,ሥከ-CB-0001,Blue Nile Construction Share Company,Electrical Motor,870269,440,30/02/94,BRUN,ZA750CE-30-3,42M3/h,53.6,1985,050-CB-01,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
